MSID,MSName,ZSID,ZSName,Achse,HNr,Hoehe,EKoord,NKoord,Richtung,Knummer,Kname,AnzDetektoren,D1ID,D2ID,D3ID,D4ID,lon,lat
Z001M001,Unbekannt,Z001,Seestrasse (Strandbad Wollishofen),Seestrasse,451,Unbekannt,2683009.89,1243936.2,auswärts,789,Badanstalt Wollishofen,1,2,Unbekannt,Unbekannt,Unbekannt,8.537068036893146,47.341058530420376
Z001M002,Unbekannt,Z001,Seestrasse (Strandbad Wollishofen),Seestrasse,451,Unbekannt,2683013.18,1243937.64,einwärts,789,Badanstalt Wollishofen,1,1,Unbekannt,Unbekannt,Unbekannt,8.537111833404706,47.34107106679844
Z002M001,Unbekannt,Z002,Albisstrasse (Widmerstrasse),Albisstrasse,152,Unbekannt,2682480.51,1243162.5,auswärts,679,Albis-/Paradies-/Widmerstr (Schulweg),1,13,Unbekannt,Unbekannt,Unbekannt,8.529921464289464,47.33416670595236
Z002M002,Unbekannt,Z002,Albisstrasse (Widmerstrasse),Albisstrasse,152,Unbekannt,2682484.91,1243162.41,einwärts,679,Albis-/Paradies-/Widmerstr (Schulweg),1,14,Unbekannt,Unbekannt,Unbekannt,8.52997965640755,47.334165346180285
Z003M001,Unbekannt,Z003,Sood-/Leimbachstrasse,Soodstrasse,Unbekannt,Leimbachstrasse,2681573.79,1242969.91,auswärts,669,Leimbach-/Soodstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.517891174463774,47.33254743168517
Z003M002,Unbekannt,Z003,Sood-/Leimbachstrasse,Leimbachstrasse,64,Unbekannt,2681607.86,1243010.95,einwärts,669,Leimbach-/Soodstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.518349352547869,47.33291231033498
Z004M001,Unbekannt,Z004,Birmensdorferstrasse (Triemli),Birmensdorferstrasse,Unbekannt,90m ab Knoten,2679762.52,1246863.95,auswärts,780,Birmensdorfer-/Triemlistr,1,1,Unbekannt,Unbekannt,Unbekannt,8.494623260545984,47.36779007207363
Z004M002,Unbekannt,Z004,Birmensdorferstrasse (Triemli),Birmensdorferstrasse,Unbekannt,vor Knoten,2679771.84,1246852.29,einwärts,780,Birmensdorfer-/Triemlistr,2,2,3,Unbekannt,Unbekannt,8.494744558294375,47.36768408027976
Z005M001,Unbekannt,Z005,Albisriederstrasse (Lyrenweg),Albisriederstrasse,Unbekannt,Lyrenweg,2678874.03,1247598.55,auswärts,785,Albisriederstr/Lyrenweg,1,2,Unbekannt,Unbekannt,Unbekannt,8.482991115336937,47.374503607417246
Z005M002,Unbekannt,Z005,Albisriederstrasse (Lyrenweg),Albisriederstrasse,Unbekannt,Lyrenweg,2678871.97,1247592.79,einwärts,785,Albisriederstr/Lyrenweg,1,1,Unbekannt,Unbekannt,Unbekannt,8.482962827328816,47.37445205165538
Z006M001,Unbekannt,Z006,Badenerstrasse (Hermetschloobrücke),Zürcherstrasse (Badenerstrassse),Unbekannt,35m ab Knoten,2678023.77,1249754.67,auswärts,457,Badenerstr/Hermetschloobrücke/Zürcherstr,1,22,Unbekannt,Unbekannt,Unbekannt,8.472110139179229,47.3939957858754
Z006M002,Unbekannt,Z006,Badenerstrasse (Hermetschloobrücke),Zürcherstrasse (Badenerstrassse),Unbekannt,35m ab Knoten,2678017.34,1249747.52,einwärts,457,Badenerstr/Hermetschloobrücke/Zürcherstr,2,21,22,Unbekannt,Unbekannt,8.472023731621112,47.39393224447725
Z007M001,Unbekannt,Z007,Bernerstrasse (Hermetschloobrücke),Bernerstrasse,Unbekannt,130m vor Knoten,2678132.31,1250219.47,einwärts,786,Bernerstr/A1 Limmatbrücke,1,3,Unbekannt,Unbekannt,Unbekannt,8.473628863257245,47.39816305979795
Z007M002,Unbekannt,Z007,Bernerstrasse (Hermetschloobrücke),Bernerstrasse,Unbekannt,130m ab Knoten,2678135.59,1250227.0,auswärts,786,Bernerstr/A1 Limmatbrücke,2,1,2,Unbekannt,Unbekannt,8.473673623314665,47.39823039108108
Z008M001,Unbekannt,Z008,Limmattalstrasse (Frankentalerstrasse),Limmattalstrasse,400,Unbekannt,2678639.3,1251013.35,auswärts,476,Frankentaler-/Limmattalstr,1,22,Unbekannt,Unbekannt,Unbekannt,8.48048368883257,47.405242396545944
Z008M002,Unbekannt,Z008,Limmattalstrasse (Frankentalerstrasse),Limmattalstrasse,410,Unbekannt,2678533.23,1250991.72,einwärts,476,Frankentaler-/Limmattalstr,1,23,Unbekannt,Unbekannt,Unbekannt,8.47907477755583,47.4050605265408
Z009M001,Unbekannt,Z009,Regensdorferstrasse (Frankentalerstrasse),Regensdorferstrasse,Unbekannt,Im Stelzenacker,2678841.72,1252207.33,auswärts,486,Frankentaler-/Regensdorferstr,1,20,Unbekannt,Unbekannt,Unbekannt,8.483375732622852,47.415956085479074
Z009M002,Unbekannt,Z009,Regensdorferstrasse (Frankentalerstrasse),Regensdorferstrasse,Unbekannt,Im Stelzenacker,2678836.59,1252206.8,einwärts,486,Frankentaler-/Regensdorferstr,1,21,Unbekannt,Unbekannt,Unbekannt,8.483307668255932,47.41595193323872
Z010M001,Unbekannt,Z010,Wehntalerstrasse (Zehntenhausplatz),Wehntalerstrasse,Unbekannt,Holderbachweg,2680425.14,1252660.75,auswärts,235,Wehntalerstr 566 (Fg-Uebergang Schulhaus Holderbach),2,11,12,Unbekannt,Unbekannt,8.504437070667967,47.41984233052454
Z010M002,Unbekannt,Z010,Wehntalerstrasse (Zehntenhausplatz),Wehntalerstrasse,Unbekannt,Holderbachweg,2680421.43,1252654.93,einwärts,233,Zehntenhausplatz,1,19,Unbekannt,Unbekannt,Unbekannt,8.504386863506099,47.41979044269868
Z011M001,Unbekannt,Z011,Glattalstrasse (Kolbenackerstrasse),Glattalstrasse,58,Unbekannt,2683637.14,1253424.13,auswärts,258,Glatttalstr/Kolbenacker,1,15,Unbekannt,Unbekannt,Unbekannt,8.54714058857696,47.42630738167029
Z011M002,Unbekannt,Z011,Glattalstrasse (Kolbenackerstrasse),Glattalstrasse,83,Unbekannt,2683585.35,1253498.54,einwärts,258,Glatttalstr/Kolbenacker,1,14,Unbekannt,Unbekannt,Unbekannt,8.546468184025155,47.42698314452591
Z012M001,Unbekannt,Z012,Schaffhauserstrasse (Glatttalstrasse),Schaffhauserstrasse,Unbekannt,ab Knoten,2683993.98,1253123.36,auswärts,256,Glatttal-/Schaffhauserstr,1,20,Unbekannt,Unbekannt,Unbekannt,8.55181292130483,47.42355706074551
Z012M002,Unbekannt,Z012,Schaffhauserstrasse (Glatttalstrasse),Schaffhauserstrasse,Unbekannt,vor Knoten,2683989.6,1253125.84,einwärts,256,Glatttal-/Schaffhauserstr,2,21,22,Unbekannt,Unbekannt,8.551755346312008,47.42357992272813
Z013M001,Unbekannt,Z013,Thurgauerstrasse (Schärenmoosstrasse),Thurgauerstrasse,59,Unbekannt,2684310.47,1252727.56,einwärts,109,Schärenmoos-/Thurgauerstr,2,14,15,Unbekannt,Unbekannt,8.555932173778455,47.41995709179103
Z013M002,Unbekannt,Z013,Thurgauerstrasse (Schärenmoosstrasse),Thurgauerstrasse,Unbekannt,Schärenmoosstrasse,2684306.94,1252690.68,auswärts,109,Schärenmoos-/Thurgauerstr,2,12,13,Unbekannt,Unbekannt,8.555878441251167,47.419625873998214
Z014M001,Unbekannt,Z014,Weststrasse (Ueberlandstrasse),Weststrasse (Wallisellen),Unbekannt,Auf Rampe 50m ab Ueberlandstrasse,2686139.38,1251547.6,auswärts,133,Ueberlandstr 327 (Weststr. Kanton),1,13,Unbekannt,Unbekannt,Unbekannt,8.579938633614873,47.409108734330275
Z014M002,Unbekannt,Z014,Weststrasse (Ueberlandstrasse),Weststrasse (Wallisellen),Unbekannt,Auf Rampe 50m vor Ueberlandstrasse,2686130.26,1251546.14,einwärts,133,Ueberlandstr 327 (Weststr. Kanton),2,11,12,Unbekannt,Unbekannt,8.579817532818955,47.409096797199275
Z015M001,Unbekannt,Z015,Neue Winterthurerstrasse (Ueberlandstrasse),Neue Winterthurerstrasse,Unbekannt,Auf Rampe 50m ab Ueberlandstrasse,2687021.11,1251261.03,auswärts,782,Neue Winterthurer-/Ueberlandstr,1,4,Unbekannt,Unbekannt,Unbekannt,8.591563762647848,47.40641562297193
Z015M002,Unbekannt,Z015,Neue Winterthurerstrasse (Ueberlandstrasse),Neue Winterthurerstrasse,Unbekannt,Auf Rampe 50m vor Ueberlandstrasse,2687010.56,1251264.63,einwärts,782,Neue Winterthurer-/Ueberlandstr,3,1,2,3,Unbekannt,8.591424706920156,47.40644939253652
Z016M003,Unbekannt,Z016,Ueberlandstrasse (Neue Winterthurerstrasse),Ueberlandstrasse,Unbekannt,ab Neue Winterthurerstrasse,2687005.31,1251174.49,auswärts,782,Neue Winterthurer-/Ueberlandstr,2,8,9,Unbekannt,Unbekannt,8.591337617276631,47.40563943945428
Z016M004,Unbekannt,Z016,Ueberlandstrasse (Neue Winterthurerstrasse),Ueberlandstrasse,Unbekannt,vor Neue Winterthurerstrasse,2687010.02,1251185.21,einwärts,782,Neue Winterthurer-/Ueberlandstr,2,6,7,Unbekannt,Unbekannt,8.591402096335326,47.40573522422757
Z017M001,Unbekannt,Z017,Dübendorfstrasse (Altwiesenstrasse),Dübendorfstrasse,394,Unbekannt,2687080.9,1250340.44,auswärts,138,Altwiesen-/Dübendorfstr/Hohmoos (Mattenhof),1,15,Unbekannt,Unbekannt,Unbekannt,8.592176513030354,47.398128663924474
Z017M002,Unbekannt,Z017,Dübendorfstrasse (Altwiesenstrasse),Dübendorfstrasse,394,Unbekannt,2687080.72,1250344.37,einwärts,138,Altwiesen-/Dübendorfstr/Hohmoos (Mattenhof),1,16,Unbekannt,Unbekannt,Unbekannt,8.592174894204303,47.39816403106842
Z018M001,Unbekannt,Z018,Tobelhof-/Dreiwiesenstrasse,Tobelhof- und Dreiwiesenstrasse,Unbekannt,beim Knoten,2685813.35,1248142.25,auswärts,550,Dreiwiesen-/Tobelhofstr,2,17,20,Unbekannt,Unbekannt,8.574966121552066,47.378526111626364
Z018M002,Unbekannt,Z018,Tobelhof-/Dreiwiesenstrasse,Tobelhof- und Dreiwiesenstrasse,Unbekannt,beim Knoten,2685849.45,1248148.3,einwärts,550,Dreiwiesen-/Tobelhofstr,2,18,19,Unbekannt,Unbekannt,8.575445251676445,47.37857581831371
Z019M001,Unbekannt,Z019,Witikonerstrasse (Katzenschwanzstrasse),Witikonerstrasse,464,Unbekannt,2687630.91,1246201.94,auswärts,534,Katzenschwanz-/Witikonerstr,1,14,Unbekannt,Unbekannt,Unbekannt,8.598650982179922,47.36083711637546
Z019M002,Unbekannt,Z019,Witikonerstrasse (Katzenschwanzstrasse),Witikonerstrasse,449,Unbekannt,2687628.72,1246207.3,einwärts,534,Katzenschwanz-/Witikonerstr,1,13,Unbekannt,Unbekannt,Unbekannt,8.598623044824578,47.36088561169392
Z020M001,Unbekannt,Z020,Forchstrasse (Witellikerstrasse),Forchstrasse,328,Unbekannt,2685897.8,1245406.61,auswärts,525,Forch-/Witellikerstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.575559426804348,47.3539125847475
Z020M002,Unbekannt,Z020,Forchstrasse (Witellikerstrasse),Forchstrasse,345,Unbekannt,2685961.74,1245348.47,einwärts,525,Forch-/Witellikerstr,2,14,15,Unbekannt,Unbekannt,8.576394453999152,47.35338137516122
Z021M001,Unbekannt,Z021,Bellerivestrasse (Bahnhof Tiefenbrunnen),Bellerivestrasse,Unbekannt,Einfahrt Bahnhof Tiefenbrunnen,2684868.02,1244845.23,auswärts,621,Bellerivestr (Ausfahrt Seepolizei),2,15,16,Unbekannt,Unbekannt,8.561824896918994,47.34899725993967
Z021M002,Unbekannt,Z021,Bellerivestrasse (Bahnhof Tiefenbrunnen),Bellerivestrasse,250,Unbekannt,2684905.26,1244804.51,einwärts,621,Bellerivestr (Ausfahrt Seepolizei),2,13,14,Unbekannt,Unbekannt,8.562309971594532,47.34862625336168
Z022M001,Unbekannt,Z022,Allmendstrasse (Brunau),Allmendstrasse West,Unbekannt,Brunau,2681701.49,1244599.72,auswärts,783,A3 Allmendstr,2,1,2,Unbekannt,Unbekannt,8.519877593903185,47.34718931215963
Z022M002,Unbekannt,Z022,Allmendstrasse (Brunau),Allmendstrasse Ost,Unbekannt,Brunau,2681748.24,1244565.5,einwärts,783,A3 Allmendstr,1,4,Unbekannt,Unbekannt,Unbekannt,8.520489970168455,47.346875760253596
Z025M001,Unbekannt,Z025,Europabrücke (Winzerstrasse),Europabrücke,Unbekannt,Meierwiesenstrasse,2679760.06,1250365.74,Höngg,472,Am Wasser/Europabrücke/Winzerstr,2,29,30,Unbekannt,Unbekannt,8.495214870982634,47.3992834249068
Z025M002,Unbekannt,Z025,Europabrücke (Winzerstrasse),Europabrücke,Unbekannt,Winzerstrasse,2679758.14,1250394.64,Altstetten,472,Am Wasser/Europabrücke/Winzerstr,2,27,28,Unbekannt,Unbekannt,8.495194593835503,47.39954356584771
Z026M001,Unbekannt,Z026,Rosengartenstrasse (Röschibachstrasse),Rosengartenstrasse,Unbekannt,vor Röschibachstrasse,2681913.5,1249607.31,Bucheggplatz,405,Wipkingerplatz (Höngger-/Röschibachstr),2,29,30,Unbekannt,Unbekannt,8.52359923213398,47.39219831344235
Z026M002,Unbekannt,Z026,Rosengartenstrasse,Rosengartenstrasse,Unbekannt,ab Ausfahrt Wipkingerplatz,2681940.05,1249609.39,Hardplatz,405,Wipkingerplatz (Höngger-/Röschibachstr),2,27,28,Unbekannt,Unbekannt,8.523951232795994,47.39221371753873
Z027M001,Unbekannt,Z027,Wipkingerbrücke,Wipkingerbrücke,Unbekannt,Escher Wyss Platz,2681960.29,1249649.87,Wipkingerplatz,403,Escher Wyss Platz (Em Sihlquai/Wipkingerbrücke),2,15,16,Unbekannt,Unbekannt,8.524226701925894,47.39257525016696
Z027M003,Unbekannt,Z027,Wipkingerbrücke,Wipkingerbrücke,Unbekannt,Wipkingerplatz,2681911.35,1249583.44,Escher Wyss Platz,405,Wipkingerplatz (Höngger-/Röschibachstr),2,11,12,Unbekannt,Unbekannt,8.523566387261768,47.39198390959065
Z028M001,Unbekannt,Z028,Kornhausbrücke,Kornhausbrücke,Unbekannt,vor Rousseaustrasse,2682767.55,1249026.65,Nord,377,Kornhaus-/Rousseaustr,2,16,17,Unbekannt,Unbekannt,8.534802543670777,47.38686948630759
Z028M002,Unbekannt,Z028,Kornhausbrücke,Kornhausbrücke,Unbekannt,ab Rousseaustrasse,2682755.37,1249023.49,Limmatplatz,377,Kornhaus-/Rousseaustr,2,18,19,Unbekannt,Unbekannt,8.534640667628334,47.38684259747996
Z029M001,Unbekannt,Z029,Walchebrücke,Walchebrücke,Unbekannt,vor Neumühlequai,2683350.45,1248117.8,Walcheplatz,305,Walcheplatz (Neumühlequai/Walchebrücke/Walchetor),2,10,11,Unbekannt,Unbekannt,8.54235219446902,47.378622394820276
Z029M002,Unbekannt,Z029,Walchebrücke,Walchebrücke,Unbekannt,Vor Museumsstrasse,2683297.01,1248118.51,Bahnhof,310,Bahnhofquai/Bahnhofquai Unterführung Nord,2,10,22,Unbekannt,Unbekannt,8.541644767122648,47.37863553823722
Z030M001,Unbekannt,Z030,Rudolf Brun-Brücke,Rudolf Brun-Brücke,Unbekannt,ab Limmatquai,2683386.15,1247648.25,Bahnhofquai,322,Limmatquai/Mühlegasse,2,13,14,Unbekannt,Unbekannt,8.542737391846446,47.37439504566229
Z030M002,Unbekannt,Z030,Rudolf Brun-Brücke,Rudolf Brun-Brücke,Unbekannt,ab Bahnhofquai,2683325.2,1247645.47,Mühlegasse,321,Bahnhofquai/Rud Brun-Brücke/Uraniastr (Heimatwerk),1,14,Unbekannt,Unbekannt,Unbekannt,8.5419299445841,47.374377754318886
Z031M001,Unbekannt,Z031,Quaibrücke,Quaibrücke,Unbekannt,135m vor Stadthausquai,2683399.15,1246811.72,Bürkliplatz,631,Bürkliplatz/Stadthausquai,2,16,17,Unbekannt,Unbekannt,8.542753661453927,47.36687017183801
Z031M002,Unbekannt,Z031,Quaibrücke,Quaibrücke,Unbekannt,ab Bürkliplatz,2683361.41,1246789.19,Bellevue,631,Bürkliplatz/Stadthausquai,2,14,15,Unbekannt,Unbekannt,8.542249889656315,47.36667232570296
Z032M001,Unbekannt,Z032,Binzmühlestrasse (Thurgauerstrasse),Binzmühlestrasse,39,Unbekannt,2683912.36,1252088.07,Oerlikon,144,Andreas-/Thurgauerstr,1,15,Unbekannt,Unbekannt,Unbekannt,8.550536931540316,47.414256870461294
Z032M002,Unbekannt,Z032,Binzmühlestrasse (Thurgauerstrasse),Binzmühlestrasse,35,Unbekannt,2683913.58,1252071.86,Schwamendingen,144,Andreas-/Thurgauerstr,2,13,14,Unbekannt,Unbekannt,8.550550051996687,47.41411093453791
Z033M001,Unbekannt,Z033,Milchbucktunnel (Südportal),Milchbucktunnel,Unbekannt,ab Wasserwerkstrasse,2682974.4,1248893.38,auswärts,375,Wasserwerkstr (Mibutu Südportal),2,26,27,Unbekannt,Unbekannt,8.537517002329835,47.38564492330156
Z033M002,Unbekannt,Z033,Milchbucktunnel (Südportal),Milchbucktunnel,Unbekannt,vor Wasserwerkstrasse,2682953.4,1248912.91,einwärts,375,Wasserwerkstr (Mibutu Südportal),3,23,24,25,Unbekannt,8.537242540891095,47.38582320786505
Z034M001,Unbekannt,Z034,Emil Klöti-Strasse (Gsteigstrasse),Emil Klöti-Strasse,Unbekannt,40m vor Knoten,2680448.99,1251086.36,Bucheggplatz,480,Emil Klöti-/Gsteigstr,2,8,9,Unbekannt,Unbekannt,8.504469733137643,47.40568042500896
Z034M002,Unbekannt,Z034,Emil Klöti-Strasse (Gsteigstrasse),Emil Klöti-Strasse,Unbekannt,60m ab Knoten,2680464.92,1251077.69,Affoltern,480,Emil Klöti-/Gsteigstr,2,10,20,Unbekannt,Unbekannt,8.504679198728137,47.40560050660547
Z035M001,Unbekannt,Z035,Gutstrasse (Burstwiesenstrasse),Gutstrasse,116,Unbekannt,2680544.57,1247408.57,Hubertus,40,Gutstr (111/121 Fg-Uebergang Schulweg),1,12,Unbekannt,Unbekannt,Unbekannt,8.505073749403644,47.37259296338498
Z035M002,Unbekannt,Z035,Gutstrasse (Burstwiesenstrasse),Gutstrasse,116,Unbekannt,2680550.91,1247394.08,Birmensdorferstrasse,40,Gutstr (111/121 Fg-Uebergang Schulweg),1,11,Unbekannt,Unbekannt,Unbekannt,8.50515507637931,47.37246187362526
Z036M001,Unbekannt,Z036,Schweighofstrasse (Hägelerweg),Schweighofstrasse,Unbekannt,Hägelerweg,2680283.75,1246891.47,Birmensdorferstrasse,787,Schweighofstr 425,1,1,Unbekannt,Unbekannt,Unbekannt,8.50152806152831,47.36797428191997
